Variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
LSOA21CD,VARCHAR,43914,43914,0,0.0,9,9,,,,,
NDVI_MEAN,DOUBLE,43914,43914,0,0.0,,,0.0500666708157169,0.8459337889629304,0.5213982767887152,0.508804395621483,0.15231368415048693
NDVI_MEDIAN,DOUBLE,43914,43315,0,0.0,,,0.0244857982370225,0.8974353933432346,0.5298635900792527,0.5011690442974035,0.1928836164573375
NDVI_STD,DOUBLE,43914,43914,0,0.0,,,0.0355757137083456,0.3634328754665389,0.20279936254454903,0.2027658828889762,0.03982904358942656
NDVI_MAX,DOUBLE,43914,40461,0,0.0,,,0.2455696202531645,0.9994703389830508,0.8989723121563662,0.9076655052264808,0.0463375356024888
NDVI_MIN,DOUBLE,43914,22052,0,0.0,,,0.0,0.2542871141597256,0.016450057589246506,0.0013805798435342,0.02910013733328945
NDVI_CV,DOUBLE,43914,43914,0,0.0,,,0.1054808705578779,1.8328703692595092,0.43169703559230604,0.41517105156886003,0.16732234570041107
VEG_FRAC,DOUBLE,43914,43670,0,0.0,,,0.0032051282051282,1.0,0.8669041945563957,0.9229173609184742,0.1508259330909537
EVI_MEAN,DOUBLE,43914,43914,0,0.0,,,0.0105334068487284,0.4536122418678204,0.20448431726036892,0.18586686419983475,0.08895471302586762
EVI_MEDIAN,DOUBLE,43914,43902,0,0.0,,,0.0010526315789473,0.4734058678466879,0.1924488996028055,0.1553637961626663,0.1091148712714469
EVI_STD,DOUBLE,43914,43914,0,0.0,,,0.0076331785625909,0.2093926907902075,0.10994883828175382,0.1105929365260424,0.027399763010634064
EVI_MAX,DOUBLE,43914,43820,0,0.0,,,0.0578065765063318,0.8346149296107891,0.5156442055397001,0.5216929868928409,0.08535373724797832
EVI_MIN,DOUBLE,43914,28571,0,0.0,,,0.0,0.0557523855065533,0.003785402968677213,0.00031658092671304995,0.00674566061032729
PXL_COUNT,BIGINT,43914,21373,0,0.0,,,392,42355712,209096.57177665437,16892.0,1001711.6327175456
FINAL_PXL_COUNT,BIGINT,43914,24032,0,0.0,,,148,25980811,103294.884159949,7503.0,535622.0950549361
PCT_FILTERED,DOUBLE,43914,43360,0,0.0,,,0.7427580331061344,86.0613986784141,46.75729469012893,46.6986268847442,8.896353822094882
